company,Smart & Final Stores
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222349-smart-and-final-stores-sfs-ceo-david-hirz-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Smart &amp; Final Stores (SFS) CEO David Hirz on Q2 2019 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,SFS
year,18
