company,Ciena Corporation
symbol,CIEN
month,6
day,6
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268783-ciena-corporation-cien-ceo-gary-smith-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Ciena Corporation (CIEN) CEO Gary Smith on Q2 2019 Results - Earnings Call Transcript</a>"
