company,"Sonos, Inc."
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222703-sonos-inc-sono-ceo-patrick-spence-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Sonos, Inc. (SONO) CEO Patrick Spence on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,SONO
year,18
