company,"Copart, Inc."
day,16
link,"<a class=""dashboard-article-link"" href=""/article/4223978-copart-inc-cprt-ceo-jayson-adair-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Copart, Inc. (CPRT) CEO Jayson Adair on Q1 2019 Results - Earnings Call Transcript</a>"
month,11
quarter,Q1
symbol,CPRT
year,18
