company,Transat A.T. Inc.
symbol,TRZBF
month,6
day,12
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4270179-transat-t-inc-trzbf-ceo-jean-marc-eustache-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Transat A.T. Inc. (TRZBF) CEO Jean-Marc Eustache on Q2 2019 Results - Earnings Call Transcript</a>"
