company,NGL Energy Partners LP's
symbol,NGL
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267343-ngl-energy-partners-lps-ngl-ceo-michael-krimbill-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">NGL Energy Partners LP's (NGL) CEO Michael Krimbill on Q4 2019 Results - Earnings Call Transcript</a>"
