company,Abbott Laboratories
symbol,ABT
link,"<a class=""dashboard-article-link"" href=""/article/4254989-abbott-laboratories-abt-ceo-miles-white-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Abbott Laboratories (ABT) CEO, Miles White on Q1 2019 Results - Earnings Call Transcript</a>"
