company,WidePoint Corp
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222308-widepoint-corp-wyy-ceo-jin-kang-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">WidePoint Corp (WYY) CEO Jin Kang on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,WYY
year,18
