company,Sonova Holding AG
day,25
link,"<a class=""dashboard-article-link"" href=""/article/4223684-sonova-holding-ag-sonvf-ceo-arnd-kaldowski-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Sonova Holding AG (SONVF) CEO Arnd Kaldowski on Q2 2019 Results - Earnings Call Transcript</a>"
month,10
symbol,SONVF
year,18
