company,Eros International Plc
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222571-eros-international-plc-eros-ceo-kishore-lulla-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Eros International Plc (EROS) CEO Kishore Lulla on Q2 2019 Results - Earnings Call Transcript</a>"
month,11
quarter,Q2
symbol,EROS
year,18
