company,Target Corporation
day,18
link,"<a class=""dashboard-article-link"" href=""/article/4223645-target-corporation-tgt-ceo-brian-cornell-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Target Corporation (TGT) CEO Brian Cornell on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,TGT
year,18
