company,Morgan Stanley
symbol,MS
month,4
day,17
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4255001-morgan-stanley-ms-ceo-james-gorman-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Morgan Stanley (MS) CEO James Gorman on Q1 2019 Results - Earnings Call Transcript</a>"
