company,Perspecta Inc.
symbol,PRSP
month,6
day,6
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268923-perspecta-inc-prsp-ceo-mac-curtis-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Perspecta Inc. (PRSP) CEO Mac Curtis on Q4 2019 Results - Earnings Call Transcript</a>"
