company,Puxin Ltd
day,26
link,"<a class=""dashboard-article-link"" href=""/article/4224531-puxin-ltd-new-ceo-yunlong-sha-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Puxin Ltd (NEW) CEO Yunlong Sha on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,NEW
year,18
