company,Xtant Medical Holdings'
day,14
link,"<a class=""dashboard-article-link"" href=""/article/4222305-xtant-medical-holdings-xtnt-management-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Xtant Medical Holdings' (XTNT) Management on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,XTNT
year,18
