company,"Pivotal Software, Inc."
symbol,PVTL
month,6
day,4
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268335-pivotal-software-inc-pvtl-ceo-robert-mee-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Pivotal Software, Inc. (PVTL) CEO Robert Mee on Q1 2020 Results - Earnings Call Transcript</a>"
