company,At Home Group Inc.
symbol,HOME
month,6
day,6
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268792-home-group-inc-home-ceo-lee-bird-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">At Home Group Inc. (HOME) CEO Lee Bird on Q1 2020 Results - Earnings Call Transcript</a>"
