company,Vince Holding Corp.
symbol,VNCE
month,6
day,13
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4270209-vince-holding-corp-vnce-ceo-brendan-hoffman-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Vince Holding Corp. (VNCE) CEO Brendan Hoffman on Q1 2019 Results - Earnings Call Transcript</a>"
