company,"theScore, Inc."
symbol,TSCRF
link,"<a class=""dashboard-article-link"" href=""/article/4255080-thescore-inc-tscrf-ceo-john-levy-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">theScore, Inc. (TSCRF) CEO John Levy on Q2 2019 Results - Earnings Call Transcript</a>"
