company,ThyssenKrupp AG
day,18
link,"<a class=""dashboard-article-link"" href=""/article/4223994-thyssenkrupp-ag-tyekf-ceo-guido-kerkhoff-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">ThyssenKrupp AG (TYEKF) CEO Guido Kerkhoff on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
symbol,TYEKF
year,18
