company,"CarMax, Inc."
symbol,KMX
month,6
day,21
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4271550-carmax-inc-kmx-ceo-bill-nash-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">CarMax, Inc. (KMX) CEO Bill Nash on Q1 2020 Results - Earnings Call Transcript</a>"
