company,Zealand Pharma AS
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222616-zealand-pharma-zeal-ceo-britt-meelby-jensen-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Zealand Pharma AS (ZEAL) CEO Britt Meelby Jensen on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,ZEAL
year,18
