company,Enghouse Systems Limited's
symbol,EGHSF
month,6
day,6
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4269130-enghouse-systems-limiteds-eghsf-ceo-steve-sadler-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Enghouse Systems Limited's (EGHSF) CEO Steve Sadler on Q2 2019 Results - Earnings Call Transcript</a>"
