company,Wipro Limited
symbol,WIT
month,4
day,16
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4254810-wipro-limited-wit-ceo-abidali-neemuchwala-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Wipro Limited (WIT) CEO Abidali Neemuchwala on Q4 2019 Results - Earnings Call Transcript</a>"
