company,SecureWorks
symbol,SCWX
month,6
day,5
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268591-secureworks-scwx-ceo-michael-cote-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">SecureWorks (SCWX) CEO Michael Cote on Q1 2020 Results - Earnings Call Transcript</a>"
