company,Avianca Holdings SA
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222578-avianca-holdings-sa-avh-ceo-hernan-rincon-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Avianca Holdings SA (AVH) CEO Hernán Rincón on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,AVH
year,18
