company,KNOT Offshore Partners LP
symbol,KNOP
month,5
day,23
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4266429-knot-offshore-partners-lp-knop-ceo-john-costain-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">KNOT Offshore Partners LP (KNOP) CEO John Costain on Q1 2019 Results - Earnings Call Transcript</a>"
