company,NextGen Healthcare
symbol,NXGN
month,5
day,28
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4266931-nextgen-healthcare-nxgn-ceo-rusty-frantz-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">NextGen Healthcare (NXGN) CEO Rusty Frantz on Q4 2019 Results - Earnings Call Transcript</a>"
