company,Huami Corporation
symbol,HMI
month,6
day,3
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4267972-huami-corporation-hmi-ceo-huang-wang-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Huami Corporation (HMI) CEO Huang Wang On Q1 2019 Results - Earnings Call Transcript</a>"
