company,Brown-Forman Corporation
symbol,BF.B
month,6
day,5
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268572-brown-forman-corporation-bf-b-ceo-lawson-whiting-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Brown-Forman Corporation (BF.B) CEO Lawson Whiting on Q4 2019 Results - Earnings Call Transcript</a>"
