company,"Dentsu, Inc."
day,19
link,"<a class=""dashboard-article-link"" href=""/article/4222734-dentsu-inc-dntuf-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Dentsu, Inc. (DNTUF) Q3 2018 Results - Earnings Call Transcript</a>"
month,10
quarter,Q3
symbol,DNTUF
year,18
