company,PolyOne Corporation
symbol,POL
month,4
day,17
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4255063-polyone-corporation-pol-ceo-bob-patterson-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">PolyOne Corporation (POL) CEO Bob Patterson on Q1 2019 Results - Earnings Call Transcript</a>"
