company,"Conn's, Inc.'s"
symbol,CONN
month,5
day,31
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267686-conns-inc-s-conn-ceo-norm-miller-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Conn's, Inc.'s (CONN) CEO Norm Miller on Q1 2020 Results - Earnings Call Transcript</a>"
