company,Frontline Ltd
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222884-frontline-ltd-fro-ceo-robert-macleod-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Frontline Ltd (FRO) CEO Robert Macleod on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,FRO
year,18
