company,Viomi Technology
day,26
link,"<a class=""dashboard-article-link"" href=""/article/4224536-viomi-technology-viot-ceo-xiaoping-chen-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Viomi Technology (VIOT) CEO Xiaoping Chen on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,VIOT
year,18
