company,Vipshop Holdings
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222983-vipshop-holdings-vips-ceo-eric-shen-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Vipshop Holdings (VIPS) CEO Eric Shen on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,VIPS
year,18
