company,"Methode Electronics, Inc."
symbol,MEI
month,6
day,20
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4271362-methode-electronics-inc-mei-ceo-donald-duda-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Methode Electronics, Inc. (MEI) CEO Donald Duda on Q4 2019 Results - Earnings Call Transcript</a>"
