company,"electroCore, Inc."
day,13
link,"<a class=""dashboard-article-link"" href=""/article/4222346-electrocore-inc-ecor-ceo-frank-amato-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">electroCore, Inc. (ECOR) CEO Frank Amato on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,ECOR
year,18
