company,Kulicke and Soffa Industries'
day,19
link,"<a class=""dashboard-article-link"" href=""/article/4223652-kulicke-soffa-industries-klic-ceo-fusen-chen-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Kulicke and Soffa Industries' (KLIC) CEO Fusen Chen on Q4 2018 Results - Earnings Call Transcript</a>"
month,10
quarter,Q4
symbol,KLIC
year,18
