company,BW LPG Ltd
day,16
link,"<a class=""dashboard-article-link"" href=""/article/4223901-bw-lpg-ltd-bwllf-ceo-martin-ackermann-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">BW LPG Ltd (BWLLF) CEO Martin Ackermann on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,BWLLF
year,18
