company,Epizyme Inc.
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222677-epizyme-inc-epzm-ceo-rob-bazemore-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Epizyme Inc. (EPZM) CEO Rob Bazemore on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
symbol,EPZM
year,18
