company,Fulton Financial Corp
symbol,FULT
month,4
day,16
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4254982-fulton-financial-corp-fult-ceo-philip-wenger-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Fulton Financial Corp (FULT) CEO Philip Wenger on Q1 2019 Results - Earnings Call Transcript</a>"
