,Feature Transform,model_type,C,no_of_features,CrossValDays,Confusion Matrices,AUC Scores,TN,FP,FN,TP,AUC Score,Min Leaves,Number of Neighbors,metric,weight,no_of_trees,min_leaves,Kernel
10,,Logistic Regression,100.0,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[91, 64],
       [91, 54]]), array([[84, 62],
       [87, 67]]), array([[ 16, 149],
       [  1, 134]]), array([[  0, 149],
       [  0, 151]]), array([[ 42, 122],
       [ 10, 126]]), array([[130,  47],
       [ 81,  42]]), array([[154,   1],
       [137,   8]]), array([[147,   1],
       [151,   1]]), array([[156,   5],
       [130,   9]]), array([[165,   6],
       [123,   6]])]","[0.5232480533926585, 0.5794342643657713, 0.6618181818181819, 0.5560247122094315, 0.6523045193687232, 0.5251481328372605, 0.6523248053392658, 0.6850551209103841, 0.5340721211850397, 0.4900494129380298]","[91, 84, 16, 0, 42, 130, 154, 147, 156, 165]","[64, 62, 149, 149, 122, 47, 1, 1, 5, 6]","[91, 87, 1, 0, 10, 81, 137, 151, 130, 123]","[54, 67, 134, 151, 126, 42, 8, 1, 9, 6]",0.5859479324364746,,,,,,,
11,,Logistic Regression,10.0,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[94, 61],
       [87, 58]]), array([[85, 61],
       [64, 90]]), array([[ 26, 139],
       [  4, 131]]), array([[  0, 149],
       [  0, 151]]), array([[ 39, 125],
       [ 10, 126]]), array([[126,  51],
       [ 77,  46]]), array([[155,   0],
       [143,   2]]), array([[148,   0],
       [151,   1]]), array([[152,   9],
       [129,  10]]), array([[171,   0],
       [129,   0]])]","[0.5492769744160179, 0.6357409713574097, 0.6523905723905724, 0.5493577492332993, 0.6536047345767575, 0.5406733728354233, 0.7125695216907675, 0.7286628733997155, 0.5924304035032844, 0.515435876512988]","[94, 85, 26, 0, 39, 126, 155, 148, 152, 171]","[61, 61, 139, 149, 125, 51, 0, 0, 9, 0]","[87, 64, 4, 0, 10, 77, 143, 151, 129, 129]","[58, 90, 131, 151, 126, 46, 2, 1, 10, 0]",0.6130143049916235,,,,,,,
12,,Logistic Regression,1.0,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[94, 61],
       [89, 56]]), array([[86, 60],
       [60, 94]]), array([[ 32, 133],
       [  7, 128]]), array([[  0, 149],
       [  0, 151]]), array([[ 44, 120],
       [ 12, 124]]), array([[126,  51],
       [ 73,  50]]), array([[155,   0],
       [143,   2]]), array([[148,   0],
       [150,   2]]), array([[148,  13],
       [112,  27]]), array([[171,   0],
       [129,   0]])]","[0.5566184649610679, 0.6448585660914428, 0.6524354657687992, 0.5420240899595538, 0.6523493543758967, 0.5544072389876441, 0.7190211345939932, 0.7353307254623045, 0.6116001608650967, 0.5165692007797271]","[94, 86, 32, 0, 44, 126, 155, 148, 148, 171]","[61, 60, 133, 149, 120, 51, 0, 0, 13, 0]","[89, 60, 7, 0, 12, 73, 143, 150, 112, 129]","[56, 94, 128, 151, 124, 50, 2, 2, 27, 0]",0.6185214401845526,,,,,,,
13,,Logistic Regression,0.1,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[94, 61],
       [89, 56]]), array([[86, 60],
       [65, 89]]), array([[ 41, 124],
       [ 15, 120]]), array([[  0, 149],
       [  0, 151]]), array([[ 46, 118],
       [ 13, 123]]), array([[143,  34],
       [ 74,  49]]), array([[155,   0],
       [141,   4]]), array([[148,   0],
       [148,   4]]), array([[134,  27],
       [105,  34]]), array([[171,   0],
       [129,   0]])]","[0.5605339265850946, 0.6453922789539227, 0.6514029180695846, 0.5179341304057958, 0.6508249641319943, 0.6075513297505857, 0.724805339265851, 0.7362642247510668, 0.6082488046829617, 0.5142572192755792]","[94, 86, 41, 0, 46, 143, 155, 148, 134, 171]","[61, 60, 124, 149, 118, 34, 0, 0, 27, 0]","[89, 65, 15, 0, 13, 74, 141, 148, 105, 129]","[56, 89, 120, 151, 123, 49, 4, 4, 34, 0]",0.6217215135872436,,,,,,,
14,,Logistic Regression,0.01,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[103,  52],
       [ 89,  56]]), array([[125,  21],
       [ 89,  65]]), array([[134,  31],
       [ 74,  61]]), array([[95, 54],
       [89, 62]]), array([[69, 95],
       [47, 89]]), array([[140,  37],
       [ 77,  46]]), array([[155,   0],
       [130,  15]]), array([[148,   0],
       [139,  13]]), array([[118,  43],
       [ 94,  45]]), array([[150,  21],
       [120,   9]])]","[0.576106785317019, 0.6485945561288027, 0.6515824915824917, 0.4785101560069336, 0.5926291248206599, 0.6354324560194754, 0.6697219132369299, 0.7284406116642959, 0.5962286071763707, 0.5043292986989437]","[103, 125, 134, 95, 69, 140, 155, 148, 118, 150]","[52, 21, 31, 54, 95, 37, 0, 0, 43, 21]","[89, 89, 74, 89, 47, 77, 130, 139, 94, 120]","[56, 65, 61, 62, 89, 46, 15, 13, 45, 9]",0.6081576000651923,,,,,,,
15,,Logistic Regression,100.0,20,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[94, 61],
       [89, 56]]), array([[85, 61],
       [59, 95]]), array([[ 24, 141],
       [  4, 131]]), array([[  0, 149],
       [  0, 151]]), array([[ 35, 129],
       [ 11, 125]]), array([[126,  51],
       [ 75,  48]]), array([[153,   2],
       [134,  11]]), array([[147,   1],
       [150,   2]]), array([[144,  17],
       [120,  19]]), array([[159,  12],
       [117,  12]])]","[0.5212903225806451, 0.6451254225226828, 0.6529292929292929, 0.5496688741721854, 0.6502421090387375, 0.5377796150842865, 0.6376418242491657, 0.6486486486486487, 0.5338040126904687, 0.49947867083729997]","[94, 85, 24, 0, 35, 126, 153, 147, 144, 159]","[61, 61, 141, 149, 129, 51, 2, 1, 17, 12]","[89, 59, 4, 0, 11, 75, 134, 150, 120, 117]","[56, 95, 131, 151, 125, 48, 11, 2, 19, 12]",0.5876608792753414,,,,,,,
16,,Logistic Regression,10.0,20,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[94, 61],
       [89, 56]]), array([[85, 61],
       [59, 95]]), array([[ 24, 141],
       [  4, 131]]), array([[  0, 149],
       [  0, 151]]), array([[ 35, 129],
       [ 11, 125]]), array([[126,  51],
       [ 75,  48]]), array([[154,   1],
       [137,   8]]), array([[148,   0],
       [149,   3]]), array([[145,  16],
       [116,  23]]), array([[168,   3],
       [127,   2]])]","[0.5502113459399333, 0.6451254225226828, 0.6527946127946128, 0.5481132494777545, 0.6497489239598279, 0.5386523356758991, 0.6974860956618464, 0.7037695590327169, 0.59265382724876, 0.5332517339861281]","[94, 85, 24, 0, 35, 126, 154, 148, 145, 168]","[61, 61, 141, 149, 129, 51, 1, 0, 16, 3]","[89, 59, 4, 0, 11, 75, 137, 149, 116, 127]","[56, 95, 131, 151, 125, 48, 8, 3, 23, 2]",0.6111807106300161,,,,,,,
17,,Logistic Regression,1.0,20,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[93, 62],
       [88, 57]]), array([[85, 61],
       [61, 93]]), array([[ 29, 136],
       [  6, 129]]), array([[  0, 149],
       [  0, 151]]), array([[ 42, 122],
       [ 13, 123]]), array([[128,  49],
       [ 74,  49]]), array([[154,   1],
       [136,   9]]), array([[148,   0],
       [148,   4]]), array([[141,  20],
       [109,  30]]), array([[168,   3],
       [127,   2]])]","[0.5591101223581758, 0.6454367550257961, 0.6524354657687991, 0.5403351260056003, 0.6467449784791965, 0.5504110973313122, 0.6984204671857619, 0.7118598862019915, 0.6031100585370214, 0.5351103857835804]","[93, 85, 29, 0, 42, 128, 154, 148, 141, 168]","[62, 61, 136, 149, 122, 49, 1, 0, 20, 3]","[88, 61, 6, 0, 13, 74, 136, 148, 109, 127]","[57, 93, 129, 151, 123, 49, 9, 4, 30, 2]",0.6142974342677235,,,,,,,
18,,Logistic Regression,0.1,20,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[96, 59],
       [88, 57]]), array([[87, 59],
       [66, 88]]), array([[ 42, 123],
       [ 13, 122]]), array([[  0, 149],
       [  0, 151]]), array([[ 45, 119],
       [ 14, 122]]), array([[140,  37],
       [ 76,  47]]), array([[153,   2],
       [135,  10]]), array([[148,   0],
       [145,   7]]), array([[141,  20],
       [108,  31]]), array([[167,   4],
       [127,   2]])]","[0.56146829810901, 0.6445917096602028, 0.651672278338945, 0.5136228276812302, 0.6427994978479197, 0.595838500757889, 0.6981535038932147, 0.7059477240398293, 0.5998480718530765, 0.5361077111383109]","[96, 87, 42, 0, 45, 140, 153, 148, 141, 167]","[59, 59, 123, 149, 119, 37, 2, 0, 20, 4]","[88, 66, 13, 0, 14, 76, 135, 145, 108, 127]","[57, 88, 122, 151, 122, 47, 10, 7, 31, 2]",0.6150050123319628,,,,,,,
19,,Logistic Regression,0.01,20,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[104,  51],
       [ 89,  56]]), array([[122,  24],
       [ 87,  67]]), array([[133,  32],
       [ 73,  62]]), array([[94, 55],
       [88, 63]]), array([[77, 87],
       [56, 80]]), array([[135,  42],
       [ 73,  50]]), array([[143,  12],
       [113,  32]]), array([[135,  13],
       [115,  37]]), array([[111,  50],
       [ 81,  58]]), array([[143,  28],
       [108,  21]])]","[0.5771301446051168, 0.6475271304038428, 0.6505050505050505, 0.47406551402284547, 0.5760401721664276, 0.6069082724725552, 0.6426696329254727, 0.640647226173542, 0.5935028374815676, 0.525817126796319]","[104, 122, 133, 94, 77, 135, 143, 135, 111, 143]","[51, 24, 32, 55, 87, 42, 12, 13, 50, 28]","[89, 87, 73, 88, 56, 73, 113, 115, 81, 108]","[56, 67, 62, 63, 80, 50, 32, 37, 58, 21]",0.5934813107552739,,,,,,,
