,Feature Transform,model_type,C,no_of_features,CrossValDays,Confusion Matrices,AUC Scores,TN,FP,FN,TP,AUC Score,Min Leaves,Number of Neighbors,metric,weight,no_of_trees,min_leaves,Kernel
293,,K Neighbors,,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[99, 56],
       [88, 57]]), array([[92, 54],
       [84, 70]]), array([[90, 75],
       [74, 61]]), array([[65, 84],
       [64, 87]]), array([[ 39, 125],
       [ 30, 106]]), array([[95, 82],
       [53, 70]]), array([[102,  53],
       [ 85,  60]]), array([[116,  32],
       [120,  32]]), array([[98, 63],
       [93, 46]]), array([[104,  67],
       [ 82,  47]])]","[0.5521023359288099, 0.5570183241416119, 0.5561616161616161, 0.5124894439752878, 0.5158043400286944, 0.543153736622112, 0.5595550611790879, 0.5524315433854907, 0.48181330711828063, 0.48782809737522104]","[99, 92, 90, 65, 39, 95, 102, 116, 98, 104]","[56, 54, 75, 84, 125, 82, 53, 32, 63, 67]","[88, 84, 74, 64, 30, 53, 85, 120, 93, 82]","[57, 70, 61, 87, 106, 70, 60, 32, 46, 47]",0.5318357805916213,,15.0,manhattan,uniform,,,
294,,K Neighbors,,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[107,  48],
       [ 90,  55]]), array([[92, 54],
       [77, 77]]), array([[87, 78],
       [71, 64]]), array([[ 59,  90],
       [ 41, 110]]), array([[ 41, 123],
       [ 28, 108]]), array([[93, 84],
       [58, 65]]), array([[100,  55],
       [ 82,  63]]), array([[115,  33],
       [115,  37]]), array([[96, 65],
       [95, 44]]), array([[101,  70],
       [ 88,  41]])]","[0.5704783092324804, 0.5730297100160112, 0.5109988776655444, 0.5700697808791502, 0.5347471305595409, 0.4982315924854164, 0.5812458286985539, 0.5711904338549075, 0.46758121453148044, 0.4576816718799583]","[107, 92, 87, 59, 41, 93, 100, 115, 96, 101]","[48, 54, 78, 90, 123, 84, 55, 33, 65, 70]","[90, 77, 71, 41, 28, 58, 82, 115, 95, 88]","[55, 77, 64, 110, 108, 65, 63, 37, 44, 41]",0.5335254549803043,,15.0,minkowski,uniform,,,
295,,K Neighbors,,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[103,  52],
       [ 80,  65]]), array([[86, 60],
       [80, 74]]), array([[92, 73],
       [70, 65]]), array([[ 59,  90],
       [ 40, 111]]), array([[ 44, 120],
       [ 26, 110]]), array([[91, 86],
       [63, 60]]), array([[101,  54],
       [ 85,  60]]), array([[118,  30],
       [115,  37]]), array([[92, 69],
       [90, 49]]), array([[88, 83],
       [81, 48]])]","[0.5611123470522803, 0.5670254403131115, 0.5256565656565657, 0.5709142628561269, 0.5476147776183644, 0.49203068301869457, 0.5525695216907676, 0.564278093883357, 0.47285401492470625, 0.4592229928827236]","[103, 86, 92, 59, 44, 91, 101, 118, 92, 88]","[52, 60, 73, 90, 120, 86, 54, 30, 69, 83]","[80, 80, 70, 40, 26, 63, 85, 115, 90, 81]","[65, 74, 65, 111, 110, 60, 60, 37, 49, 48]",0.53132786998967,,15.0,euclidean,distance,,,
296,,K Neighbors,,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[104,  51],
       [ 86,  59]]), array([[93, 53],
       [82, 72]]), array([[97, 68],
       [73, 62]]), array([[64, 85],
       [64, 87]]), array([[ 40, 124],
       [ 29, 107]]), array([[84, 93],
       [58, 65]]), array([[101,  54],
       [ 86,  59]]), array([[117,  31],
       [116,  36]]), array([[99, 62],
       [87, 52]]), array([[100,  71],
       [ 76,  53]])]","[0.5507452725250278, 0.5548389966198186, 0.5573512906846241, 0.5202897906573626, 0.5242109038737446, 0.5236782876303339, 0.5389098998887654, 0.5447635135135135, 0.48844899235890793, 0.48039349018541183]","[104, 93, 97, 64, 40, 84, 101, 117, 99, 100]","[51, 53, 68, 85, 124, 93, 54, 31, 62, 71]","[86, 82, 73, 64, 29, 58, 86, 116, 87, 76]","[59, 72, 62, 87, 107, 65, 59, 36, 52, 53]",0.528363043793751,,15.0,manhattan,distance,,,
297,,K Neighbors,,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[103,  52],
       [ 80,  65]]), array([[86, 60],
       [80, 74]]), array([[92, 73],
       [70, 65]]), array([[ 59,  90],
       [ 40, 111]]), array([[ 44, 120],
       [ 26, 110]]), array([[91, 86],
       [63, 60]]), array([[101,  54],
       [ 85,  60]]), array([[118,  30],
       [115,  37]]), array([[92, 69],
       [90, 49]]), array([[88, 83],
       [81, 48]])]","[0.5611123470522803, 0.5670254403131115, 0.5256565656565657, 0.5709142628561269, 0.5476147776183644, 0.49203068301869457, 0.5525695216907676, 0.564278093883357, 0.47285401492470625, 0.4592229928827236]","[103, 86, 92, 59, 44, 91, 101, 118, 92, 88]","[52, 60, 73, 90, 120, 86, 54, 30, 69, 83]","[80, 80, 70, 40, 26, 63, 85, 115, 90, 81]","[65, 74, 65, 111, 110, 60, 60, 37, 49, 48]",0.53132786998967,,15.0,minkowski,distance,,,
298,,K Neighbors,,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[99, 56],
       [89, 56]]), array([[94, 52],
       [81, 73]]), array([[83, 82],
       [64, 71]]), array([[ 63,  86],
       [ 46, 105]]), array([[ 38, 126],
       [ 31, 105]]), array([[93, 84],
       [55, 68]]), array([[103,  52],
       [ 82,  63]]), array([[115,  33],
       [116,  36]]), array([[98, 63],
       [97, 42]]), array([[107,  64],
       [ 84,  45]])]","[0.5590211345939934, 0.5795676925813913, 0.5194163860830527, 0.5760922707675896, 0.5447229196556671, 0.5276744292866656, 0.5939933259176863, 0.5574991109530584, 0.466263014433174, 0.4721202230382157]","[99, 94, 83, 63, 38, 93, 103, 115, 98, 107]","[56, 52, 82, 86, 126, 84, 52, 33, 63, 64]","[89, 81, 64, 46, 31, 55, 82, 116, 97, 84]","[56, 73, 71, 105, 105, 68, 63, 36, 42, 45]",0.5396370507310494,,17.0,euclidean,uniform,,,
299,,K Neighbors,,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[91, 64],
       [78, 67]]), array([[91, 55],
       [83, 71]]), array([[88, 77],
       [73, 62]]), array([[67, 82],
       [60, 91]]), array([[ 43, 121],
       [ 34, 102]]), array([[94, 83],
       [53, 70]]), array([[107,  48],
       [ 91,  54]]), array([[114,  34],
       [121,  31]]), array([[99, 62],
       [97, 42]]), array([[106,  65],
       [ 82,  47]])]","[0.5438709677419354, 0.5535269524995552, 0.5490684624017957, 0.5083337037201653, 0.5092808464849355, 0.5630425795783381, 0.5844493882091213, 0.5565433854907539, 0.4805174493945216, 0.49950133732263474]","[91, 91, 88, 67, 43, 94, 107, 114, 99, 106]","[64, 55, 77, 82, 121, 83, 48, 34, 62, 65]","[78, 83, 73, 60, 34, 53, 91, 121, 97, 82]","[67, 71, 62, 91, 102, 70, 54, 31, 42, 47]",0.5348135072843756,,17.0,manhattan,uniform,,,
300,,K Neighbors,,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[99, 56],
       [89, 56]]), array([[94, 52],
       [81, 73]]), array([[83, 82],
       [64, 71]]), array([[ 63,  86],
       [ 46, 105]]), array([[ 38, 126],
       [ 31, 105]]), array([[93, 84],
       [55, 68]]), array([[103,  52],
       [ 82,  63]]), array([[115,  33],
       [116,  36]]), array([[98, 63],
       [97, 42]]), array([[107,  64],
       [ 84,  45]])]","[0.5590211345939934, 0.5795676925813913, 0.5194163860830527, 0.5760922707675896, 0.5447229196556671, 0.5276744292866656, 0.5939933259176863, 0.5574991109530584, 0.466263014433174, 0.4721202230382157]","[99, 94, 83, 63, 38, 93, 103, 115, 98, 107]","[56, 52, 82, 86, 126, 84, 52, 33, 63, 64]","[89, 81, 64, 46, 31, 55, 82, 116, 97, 84]","[56, 73, 71, 105, 105, 68, 63, 36, 42, 45]",0.5396370507310494,,17.0,minkowski,uniform,,,
301,,K Neighbors,,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[100,  55],
       [ 80,  65]]), array([[87, 59],
       [80, 74]]), array([[89, 76],
       [67, 68]]), array([[ 61,  88],
       [ 45, 106]]), array([[ 40, 124],
       [ 28, 108]]), array([[90, 87],
       [56, 67]]), array([[102,  53],
       [ 86,  59]]), array([[115,  33],
       [113,  39]]), array([[95, 66],
       [91, 48]]), array([[96, 75],
       [80, 49]])]","[0.5574193548387096, 0.5716064757160647, 0.5298316498316499, 0.5791368505266901, 0.5506635581061693, 0.5129759772173993, 0.5628031145717464, 0.5568990042674252, 0.47137941820456675, 0.4645722834217326]","[100, 87, 89, 61, 40, 90, 102, 115, 95, 96]","[55, 59, 76, 88, 124, 87, 53, 33, 66, 75]","[80, 80, 67, 45, 28, 56, 86, 113, 91, 80]","[65, 74, 68, 106, 108, 67, 59, 39, 48, 49]",0.5357287686702155,,17.0,euclidean,distance,,,
302,,K Neighbors,,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[98, 57],
       [81, 64]]), array([[92, 54],
       [83, 71]]), array([[94, 71],
       [74, 61]]), array([[66, 83],
       [57, 94]]), array([[ 44, 120],
       [ 32, 104]]), array([[85, 92],
       [54, 69]]), array([[103,  52],
       [ 90,  55]]), array([[117,  31],
       [116,  36]]), array([[100,  61],
       [ 92,  47]]), array([[101,  70],
       [ 78,  51]])]","[0.5435372636262514, 0.5534602383917453, 0.5536700336700336, 0.5152673452153429, 0.521924318507891, 0.5343346653805521, 0.5551946607341491, 0.5512980085348507, 0.4898789043299521, 0.48873475678861233]","[98, 92, 94, 66, 44, 85, 103, 117, 100, 101]","[57, 54, 71, 83, 120, 92, 52, 31, 61, 70]","[81, 83, 74, 57, 32, 54, 90, 116, 92, 78]","[64, 71, 61, 94, 104, 69, 55, 36, 47, 51]",0.5307300195179381,,17.0,manhattan,distance,,,
303,,K Neighbors,,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[100,  55],
       [ 80,  65]]), array([[87, 59],
       [80, 74]]), array([[89, 76],
       [67, 68]]), array([[ 61,  88],
       [ 45, 106]]), array([[ 40, 124],
       [ 28, 108]]), array([[90, 87],
       [56, 67]]), array([[102,  53],
       [ 86,  59]]), array([[115,  33],
       [113,  39]]), array([[95, 66],
       [91, 48]]), array([[96, 75],
       [80, 49]])]","[0.5574193548387096, 0.5716064757160647, 0.5298316498316499, 0.5791368505266901, 0.5506635581061693, 0.5129759772173993, 0.5628031145717464, 0.5568990042674252, 0.47137941820456675, 0.4645722834217326]","[100, 87, 89, 61, 40, 90, 102, 115, 95, 96]","[55, 59, 76, 88, 124, 87, 53, 33, 66, 75]","[80, 80, 67, 45, 28, 56, 86, 113, 91, 80]","[65, 74, 68, 106, 108, 67, 59, 39, 48, 49]",0.5357287686702155,,17.0,minkowski,distance,,,
304,,K Neighbors,,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[87, 68],
       [74, 71]]), array([[90, 56],
       [73, 81]]), array([[76, 89],
       [62, 73]]), array([[ 60,  89],
       [ 43, 108]]), array([[ 38, 126],
       [ 26, 110]]), array([[96, 81],
       [60, 63]]), array([[104,  51],
       [ 79,  66]]), array([[115,  33],
       [109,  43]]), array([[104,  57],
       [ 93,  46]]), array([[104,  67],
       [ 82,  47]])]","[0.5594215795328142, 0.5727850916207081, 0.5304826038159371, 0.5778034579314636, 0.5378407460545194, 0.539731753249736, 0.5990656284760845, 0.5640336059743954, 0.47283167255015857, 0.486989437417834]","[87, 90, 76, 60, 38, 96, 104, 115, 104, 104]","[68, 56, 89, 89, 126, 81, 51, 33, 57, 67]","[74, 73, 62, 43, 26, 60, 79, 109, 93, 82]","[71, 81, 73, 108, 110, 63, 66, 43, 46, 47]",0.5440985576623651,,19.0,euclidean,uniform,,,
305,,K Neighbors,,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[85, 70],
       [77, 68]]), array([[85, 61],
       [78, 76]]), array([[85, 80],
       [70, 65]]), array([[58, 91],
       [57, 94]]), array([[ 43, 121],
       [ 33, 103]]), array([[101,  76],
       [ 56,  67]]), array([[113,  42],
       [ 88,  57]]), array([[119,  29],
       [115,  37]]), array([[98, 63],
       [95, 44]]), array([[113,  58],
       [ 84,  45]])]","[0.5409788654060067, 0.5587306529087351, 0.5449607182940517, 0.5186230499133295, 0.5149300573888091, 0.5549813972715997, 0.5912791991101223, 0.5613886913229018, 0.47578086599043745, 0.5022213155628089]","[85, 85, 85, 58, 43, 101, 113, 119, 98, 113]","[70, 61, 80, 91, 121, 76, 42, 29, 63, 58]","[77, 78, 70, 57, 33, 56, 88, 115, 95, 84]","[68, 76, 65, 94, 103, 67, 57, 37, 44, 45]",0.5363874813168802,,19.0,manhattan,uniform,,,
306,,K Neighbors,,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[87, 68],
       [74, 71]]), array([[90, 56],
       [73, 81]]), array([[76, 89],
       [62, 73]]), array([[ 60,  89],
       [ 43, 108]]), array([[ 38, 126],
       [ 26, 110]]), array([[96, 81],
       [60, 63]]), array([[104,  51],
       [ 79,  66]]), array([[115,  33],
       [109,  43]]), array([[104,  57],
       [ 93,  46]]), array([[104,  67],
       [ 82,  47]])]","[0.5594215795328142, 0.5727850916207081, 0.5304826038159371, 0.5778034579314636, 0.5378407460545194, 0.539731753249736, 0.5990656284760845, 0.5640336059743954, 0.47283167255015857, 0.486989437417834]","[87, 90, 76, 60, 38, 96, 104, 115, 104, 104]","[68, 56, 89, 89, 126, 81, 51, 33, 57, 67]","[74, 73, 62, 43, 26, 60, 79, 109, 93, 82]","[71, 81, 73, 108, 110, 63, 66, 43, 46, 47]",0.5440985576623651,,19.0,minkowski,uniform,,,
307,,K Neighbors,,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[96, 59],
       [79, 66]]), array([[88, 58],
       [83, 71]]), array([[89, 76],
       [67, 68]]), array([[ 58,  91],
       [ 40, 111]]), array([[ 39, 125],
       [ 26, 110]]), array([[89, 88],
       [61, 62]]), array([[101,  54],
       [ 85,  60]]), array([[115,  33],
       [115,  37]]), array([[97, 64],
       [89, 50]]), array([[94, 77],
       [78, 51]])]","[0.5557730812013348, 0.5676925813912115, 0.5362962962962963, 0.5830036890528467, 0.5490943328550932, 0.5228055670387213, 0.5708120133481647, 0.5612553342816501, 0.4747754591357969, 0.47137222902216785]","[96, 88, 89, 58, 39, 89, 101, 115, 97, 94]","[59, 58, 76, 91, 125, 88, 54, 33, 64, 77]","[79, 83, 67, 40, 26, 61, 85, 115, 89, 78]","[66, 71, 68, 111, 110, 62, 60, 37, 50, 51]",0.5392880583623284,,19.0,euclidean,distance,,,
308,,K Neighbors,,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[90, 65],
       [78, 67]]), array([[85, 61],
       [85, 69]]), array([[88, 77],
       [75, 60]]), array([[59, 90],
       [56, 95]]), array([[ 46, 118],
       [ 32, 104]]), array([[92, 85],
       [56, 67]]), array([[105,  50],
       [ 90,  55]]), array([[118,  30],
       [114,  38]]), array([[97, 64],
       [95, 44]]), array([[106,  65],
       [ 78,  51]])]","[0.543670745272525, 0.5590642234477851, 0.5513355780022446, 0.5214453975732255, 0.523045193687231, 0.5375499517707041, 0.5605784204671858, 0.5578769559032717, 0.4851870056749631, 0.4912734031461081]","[90, 85, 88, 59, 46, 92, 105, 118, 97, 106]","[65, 61, 77, 90, 118, 85, 50, 30, 64, 65]","[78, 85, 75, 56, 32, 56, 90, 114, 95, 78]","[67, 69, 60, 95, 104, 67, 55, 38, 44, 51]",0.5331026874945244,,19.0,manhattan,distance,,,
309,,K Neighbors,,15,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[96, 59],
       [79, 66]]), array([[88, 58],
       [83, 71]]), array([[89, 76],
       [67, 68]]), array([[ 58,  91],
       [ 40, 111]]), array([[ 39, 125],
       [ 26, 110]]), array([[89, 88],
       [61, 62]]), array([[101,  54],
       [ 85,  60]]), array([[115,  33],
       [115,  37]]), array([[97, 64],
       [89, 50]]), array([[94, 77],
       [78, 51]])]","[0.5557730812013348, 0.5676925813912115, 0.5362962962962963, 0.5830036890528467, 0.5490943328550932, 0.5228055670387213, 0.5708120133481647, 0.5612553342816501, 0.4747754591357969, 0.47137222902216785]","[96, 88, 89, 58, 39, 89, 101, 115, 97, 94]","[59, 58, 76, 91, 125, 88, 54, 33, 64, 77]","[79, 83, 67, 40, 26, 61, 85, 115, 89, 78]","[66, 71, 68, 111, 110, 62, 60, 37, 50, 51]",0.5392880583623284,,19.0,minkowski,distance,,,
310,,K Neighbors,,20,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[83, 72],
       [87, 58]]), array([[81, 65],
       [78, 76]]), array([[78, 87],
       [67, 68]]), array([[83, 66],
       [64, 87]]), array([[ 60, 104],
       [ 43,  93]]), array([[83, 94],
       [65, 58]]), array([[89, 66],
       [79, 66]]), array([[93, 55],
       [87, 65]]), array([[86, 75],
       [74, 65]]), array([[82, 89],
       [72, 57]])]","[0.4677419354838709, 0.5241505070272193, 0.4882154882154882, 0.5666029601315614, 0.524838593974175, 0.4702356345597355, 0.5146829810901001, 0.5280049786628734, 0.5008936949819027, 0.4606963144294845]","[83, 81, 78, 83, 60, 83, 89, 93, 86, 82]","[72, 65, 87, 66, 104, 94, 66, 55, 75, 89]","[87, 78, 67, 64, 43, 65, 79, 87, 74, 72]","[58, 76, 68, 87, 93, 58, 66, 65, 65, 57]",0.5046063088556412,,1.0,euclidean,uniform,,,
311,,K Neighbors,,20,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[80, 75],
       [84, 61]]), array([[79, 67],
       [77, 77]]), array([[79, 86],
       [65, 70]]), array([[76, 73],
       [74, 77]]), array([[65, 99],
       [59, 77]]), array([[79, 98],
       [61, 62]]), array([[86, 69],
       [78, 67]]), array([[86, 62],
       [89, 63]]), array([[88, 73],
       [74, 65]]), array([[81, 90],
       [74, 55]])]","[0.4684093437152392, 0.5205479452054794, 0.4986531986531987, 0.5100004444641985, 0.48125896700143467, 0.4751963621331128, 0.5084538375973303, 0.49777738264580373, 0.5071048751061262, 0.45002039983680125]","[80, 79, 79, 76, 65, 79, 86, 86, 88, 81]","[75, 67, 86, 73, 99, 98, 69, 62, 73, 90]","[84, 77, 65, 74, 59, 61, 78, 89, 74, 74]","[61, 77, 70, 77, 77, 62, 67, 63, 65, 55]",0.49174227563587253,,1.0,manhattan,uniform,,,
312,,K Neighbors,,20,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[83, 72],
       [87, 58]]), array([[81, 65],
       [78, 76]]), array([[78, 87],
       [67, 68]]), array([[83, 66],
       [64, 87]]), array([[ 60, 104],
       [ 43,  93]]), array([[83, 94],
       [65, 58]]), array([[89, 66],
       [79, 66]]), array([[93, 55],
       [87, 65]]), array([[86, 75],
       [74, 65]]), array([[82, 89],
       [72, 57]])]","[0.4677419354838709, 0.5241505070272193, 0.4882154882154882, 0.5666029601315614, 0.524838593974175, 0.4702356345597355, 0.5146829810901001, 0.5280049786628734, 0.5008936949819027, 0.4606963144294845]","[83, 81, 78, 83, 60, 83, 89, 93, 86, 82]","[72, 65, 87, 66, 104, 94, 66, 55, 75, 89]","[87, 78, 67, 64, 43, 65, 79, 87, 74, 72]","[58, 76, 68, 87, 93, 58, 66, 65, 65, 57]",0.5046063088556412,,1.0,minkowski,uniform,,,
313,,K Neighbors,,20,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[83, 72],
       [87, 58]]), array([[81, 65],
       [78, 76]]), array([[78, 87],
       [67, 68]]), array([[83, 66],
       [64, 87]]), array([[ 60, 104],
       [ 43,  93]]), array([[83, 94],
       [65, 58]]), array([[89, 66],
       [79, 66]]), array([[93, 55],
       [87, 65]]), array([[86, 75],
       [74, 65]]), array([[82, 89],
       [72, 57]])]","[0.4677419354838709, 0.5241505070272193, 0.4882154882154882, 0.5666029601315614, 0.524838593974175, 0.4702356345597355, 0.5146829810901001, 0.5280049786628734, 0.5008936949819027, 0.4606963144294845]","[83, 81, 78, 83, 60, 83, 89, 93, 86, 82]","[72, 65, 87, 66, 104, 94, 66, 55, 75, 89]","[87, 78, 67, 64, 43, 65, 79, 87, 74, 72]","[58, 76, 68, 87, 93, 58, 66, 65, 65, 57]",0.5046063088556412,,1.0,euclidean,distance,,,
314,,K Neighbors,,20,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[80, 75],
       [84, 61]]), array([[79, 67],
       [77, 77]]), array([[79, 86],
       [65, 70]]), array([[76, 73],
       [74, 77]]), array([[65, 99],
       [59, 77]]), array([[79, 98],
       [61, 62]]), array([[86, 69],
       [78, 67]]), array([[86, 62],
       [89, 63]]), array([[88, 73],
       [74, 65]]), array([[81, 90],
       [74, 55]])]","[0.4684093437152392, 0.5205479452054794, 0.4986531986531987, 0.5100004444641985, 0.48125896700143467, 0.4751963621331128, 0.5084538375973303, 0.49777738264580373, 0.5071048751061262, 0.45002039983680125]","[80, 79, 79, 76, 65, 79, 86, 86, 88, 81]","[75, 67, 86, 73, 99, 98, 69, 62, 73, 90]","[84, 77, 65, 74, 59, 61, 78, 89, 74, 74]","[61, 77, 70, 77, 77, 62, 67, 63, 65, 55]",0.49174227563587253,,1.0,manhattan,distance,,,
315,,K Neighbors,,20,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[83, 72],
       [87, 58]]), array([[81, 65],
       [78, 76]]), array([[78, 87],
       [67, 68]]), array([[83, 66],
       [64, 87]]), array([[ 60, 104],
       [ 43,  93]]), array([[83, 94],
       [65, 58]]), array([[89, 66],
       [79, 66]]), array([[93, 55],
       [87, 65]]), array([[86, 75],
       [74, 65]]), array([[82, 89],
       [72, 57]])]","[0.4677419354838709, 0.5241505070272193, 0.4882154882154882, 0.5666029601315614, 0.524838593974175, 0.4702356345597355, 0.5146829810901001, 0.5280049786628734, 0.5008936949819027, 0.4606963144294845]","[83, 81, 78, 83, 60, 83, 89, 93, 86, 82]","[72, 65, 87, 66, 104, 94, 66, 55, 75, 89]","[87, 78, 67, 64, 43, 65, 79, 87, 74, 72]","[58, 76, 68, 87, 93, 58, 66, 65, 65, 57]",0.5046063088556412,,1.0,minkowski,distance,,,
316,,K Neighbors,,20,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[86, 69],
       [81, 64]]), array([[84, 62],
       [73, 81]]), array([[88, 77],
       [68, 67]]), array([[67, 82],
       [57, 94]]), array([[ 51, 113],
       [ 35, 101]]), array([[93, 84],
       [61, 62]]), array([[82, 73],
       [75, 70]]), array([[105,  43],
       [ 83,  69]]), array([[86, 75],
       [74, 65]]), array([[88, 83],
       [70, 59]])]","[0.49472747497219133, 0.5554838996619819, 0.5204489337822671, 0.5622694341970754, 0.5403963414634146, 0.5177529741399108, 0.5397775305895439, 0.5810366287339972, 0.507842173466196, 0.4916134004261299]","[86, 84, 88, 67, 51, 93, 82, 105, 86, 88]","[69, 62, 77, 82, 113, 84, 73, 43, 75, 83]","[81, 73, 68, 57, 35, 61, 75, 83, 74, 70]","[64, 81, 67, 94, 101, 62, 70, 69, 65, 59]",0.5311348791432708,,3.0,euclidean,uniform,,,
317,,K Neighbors,,20,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[82, 73],
       [82, 63]]), array([[91, 55],
       [73, 81]]), array([[93, 72],
       [68, 67]]), array([[72, 77],
       [72, 79]]), array([[ 57, 107],
       [ 48,  88]]), array([[91, 86],
       [63, 60]]), array([[91, 64],
       [77, 68]]), array([[103,  45],
       [ 92,  60]]), array([[88, 73],
       [80, 59]]), array([[95, 76],
       [71, 58]])]","[0.4872080088987764, 0.5757427504002847, 0.5331986531986532, 0.537201653406818, 0.5069270086083214, 0.5281796885765467, 0.5436929922135706, 0.5412073257467995, 0.48129943250368645, 0.49020807833537333]","[82, 91, 93, 72, 57, 91, 91, 103, 88, 95]","[73, 55, 72, 77, 107, 86, 64, 45, 73, 76]","[82, 73, 68, 72, 48, 63, 77, 92, 80, 71]","[63, 81, 67, 79, 88, 60, 68, 60, 59, 58]",0.522486559188883,,3.0,manhattan,uniform,,,
318,,K Neighbors,,20,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[86, 69],
       [81, 64]]), array([[84, 62],
       [73, 81]]), array([[88, 77],
       [68, 67]]), array([[67, 82],
       [57, 94]]), array([[ 51, 113],
       [ 35, 101]]), array([[93, 84],
       [61, 62]]), array([[82, 73],
       [75, 70]]), array([[105,  43],
       [ 83,  69]]), array([[86, 75],
       [74, 65]]), array([[88, 83],
       [70, 59]])]","[0.49472747497219133, 0.5554838996619819, 0.5204489337822671, 0.5622694341970754, 0.5403963414634146, 0.5177529741399108, 0.5397775305895439, 0.5810366287339972, 0.507842173466196, 0.4916134004261299]","[86, 84, 88, 67, 51, 93, 82, 105, 86, 88]","[69, 62, 77, 82, 113, 84, 73, 43, 75, 83]","[81, 73, 68, 57, 35, 61, 75, 83, 74, 70]","[64, 81, 67, 94, 101, 62, 70, 69, 65, 59]",0.5311348791432708,,3.0,minkowski,uniform,,,
319,,K Neighbors,,20,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[89, 66],
       [83, 62]]), array([[85, 61],
       [74, 80]]), array([[86, 79],
       [68, 67]]), array([[67, 82],
       [57, 94]]), array([[ 51, 113],
       [ 33, 103]]), array([[87, 90],
       [57, 66]]), array([[82, 73],
       [76, 69]]), array([[99, 49],
       [83, 69]]), array([[87, 74],
       [72, 67]]), array([[87, 84],
       [71, 58]])]","[0.486273637374861, 0.5496352962106388, 0.5154433221099888, 0.5667140761811637, 0.5421897417503587, 0.507234394377842, 0.5305895439377085, 0.5710570768136558, 0.5104785736628089, 0.4826148057482206]","[89, 85, 86, 67, 51, 87, 82, 99, 87, 87]","[66, 61, 79, 82, 113, 90, 73, 49, 74, 84]","[83, 74, 68, 57, 33, 57, 76, 83, 72, 71]","[62, 80, 67, 94, 103, 66, 69, 69, 67, 58]",0.5262230468167247,,3.0,euclidean,distance,,,
320,,K Neighbors,,20,"[0, 150, 300, 450, 600, 750, 900, 1050, 1200, 1350]","[array([[81, 74],
       [84, 61]]), array([[92, 54],
       [75, 79]]), array([[90, 75],
       [68, 67]]), array([[72, 77],
       [72, 79]]), array([[ 59, 105],
       [ 47,  89]]), array([[87, 90],
       [63, 60]]), array([[89, 66],
       [78, 67]]), array([[102,  46],
       [ 91,  61]]), array([[88, 73],
       [78, 61]]), array([[90, 81],
       [72, 57]])]","[0.4846273637374861, 0.5640455434975983, 0.5252525252525252, 0.537601671185386, 0.5036764705882353, 0.5107712094070093, 0.5267630700778643, 0.5378289473684211, 0.4935877385048483, 0.4740922072623419]","[81, 92, 90, 72, 59, 87, 89, 102, 88, 90]","[74, 54, 75, 77, 105, 90, 66, 46, 73, 81]","[84, 75, 68, 72, 47, 63, 78, 91, 78, 72]","[61, 79, 67, 79, 89, 60, 67, 61, 61, 57]",0.5158246746881716,,3.0,manhattan,distance,,,
