company,GSE Systems Inc.
day,25
link,"<a class=""dashboard-article-link"" href=""/article/4222358-gse-systems-inc-gvp-ceo-kyle-loudermilk-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">GSE Systems Inc. (GVP) CEO Kyle Loudermilk on Q3 2018 Results - Earnings Call Transcript</a>"
month,10
quarter,Q3
symbol,GVP
year,18
