company,"Keysight Technologies, Inc."
symbol,KEYS
month,5
day,29
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267159-keysight-technologies-inc-keys-ceo-ron-nersesian-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Keysight Technologies, Inc. (KEYS) CEO Ron Nersesian on Q2 2019 Results - Earnings Call Transcript</a>"
