company,"XpresSpa Group, Inc."
day,11
link,"<a class=""dashboard-article-link"" href=""/article/4222342-xpresspa-group-inc-xspa-ceo-ed-jankowski-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">XpresSpa Group, Inc. (XSPA) CEO Ed Jankowski on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,XSPA
year,18
