company,Aleafia Health Inc
day,25
link,"<a class=""dashboard-article-link"" href=""/article/4224599-aleafia-health-inc-aleaf-ceo-geoffrey-benic-q3-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Aleafia Health Inc (ALEAF) CEO Geoffrey Benic on Q3 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q3
symbol,ALEAF
year,18
