company,"WesBanco, Inc."
symbol,WSBC
month,4
day,16
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4255088-wesbanco-inc-wsbc-ceo-todd-clossin-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">WesBanco, Inc. (WSBC) CEO Todd Clossin on Q1 2019 Results - Earnings Call Transcript</a>"
