company,"Helmerich & Payne, Inc."
day,15
link,"<a class=""dashboard-article-link"" href=""/article/4222959-helmerich-and-payne-inc-hp-ceo-john-lindsay-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Helmerich &amp; Payne, Inc. (HP) CEO John Lindsay on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,HP
year,18
