company,Orocobre's
symbol,OROCF
link,"<a class=""dashboard-article-link"" href=""/article/4255057-orocobres-orocf-ceo-martin-perez-de-solay-q3-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Orocobre's (OROCF) CEO Martin Pérez de Solay on Q3 2019 Results - Earnings Call Transcript</a>"
