company,"Interactive Brokers Group, Inc."
symbol,IBKR
month,4
day,16
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4254821-interactive-brokers-group-inc-ibkr-ceo-thomas-peterffy-q1-2019-results-earnings-call"" sasource=""earnings-center-transcripts_article"">Interactive Brokers Group, Inc. (IBKR) CEO Thomas Peterffy on Q1 2019 Results - Earnings Call Transcript</a>"
