company,"REV Group, Inc."
symbol,REVG
month,6
day,5
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268818-rev-group-inc-revg-ceo-tim-sullivan-q2-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">REV Group, Inc. (REVG) CEO Tim Sullivan on Q2 2019 Results - Earnings Call Transcript</a>"
