company,HEXO Corp's
symbol,HEXO
month,6
day,12
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4270153-hexo-corps-hexo-ceo-sebastien-st-louis-q3-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">HEXO Corp's (HEXO) CEO Sebastien St-Louis on Q3 2019 Results - Earnings Call Transcript</a>"
