company,Oracle Corporation
symbol,ORCL
month,6
day,19
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4271168-oracle-corporation-orcl-q4-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Oracle Corporation (ORCL) Q4 2019 Results - Earnings Call Transcript</a>"
