company,Signature Bank
symbol,SBNY
month,4
day,17
year,19
quarter,Q1
link,"<a class=""dashboard-article-link"" href=""/article/4255032-signature-bank-sbny-ceo-joseph-depaolo-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Signature Bank (SBNY) CEO Joseph DePaolo on Q1 2019 Results - Earnings Call Transcript</a>"
