company,"Kirkland's, Inc."
symbol,KIRK
month,6
day,6
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4268922-kirklands-inc-kirk-ceo-woody-woodward-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Kirkland's, Inc. (KIRK) CEO Woody Woodward on Q1 2019 Results - Earnings Call Transcript</a>"
