company,"Simulations Plus, Inc."
day,8
link,"<a class=""dashboard-article-link"" href=""/article/4222307-simulations-plus-inc-slp-ceo-shawn-oconnor-q4-2018-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Simulations Plus, Inc. (SLP) CEO Shawn O'Connor on Q4 2018 Results - Earnings Call Transcript</a>"
month,11
quarter,Q4
symbol,SLP
year,18
