company,Hooker Furniture Corporation
symbol,HOFT
month,6
day,12
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4269958-hooker-furniture-corporation-hoft-ceo-paul-toms-q1-2020-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Hooker Furniture Corporation (HOFT) CEO Paul Toms on Q1 2020 Results - Earnings Call Transcript</a>"
