company,Petra Diamonds Limited
symbol,PDMDF
link,"<a class=""dashboard-article-link"" href=""/article/4254778-petra-diamonds-limited-pdmdf-ceo-richard-duffy-q3-fy-2019-results-trading-update-earnings"" sasource=""earnings-center-transcripts_article"">Petra Diamonds Limited (PDMDF) CEO Richard Duffy on Q3 FY 2019 Results - Trading Update Earnings Call Transcript</a>"
