company,"Williams-Sonoma, Inc."
symbol,WSM
month,5
day,30
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4267441-williams-sonoma-inc-wsm-ceo-laura-alber-q1-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Williams-Sonoma, Inc. (WSM) CEO Laura Alber on Q1 2019 Results - Earnings Call Transcript</a>"
