company,"Corus Entertainment, Inc."
symbol,CJREF
month,6
day,26
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4272322-corus-entertainment-inc-cjref-ceo-doug-murphy-q3-2019-results-earnings-call-transcript"" sasource=""earnings-center-transcripts_article"">Corus Entertainment, Inc. (CJREF) CEO Doug Murphy on Q3 2019 Results - Earnings Call Transcript</a>"
