company,Major Drilling Group International Inc.
symbol,MJDLF
month,6
day,6
year,19
link,"<a class=""dashboard-article-link"" href=""/article/4269112-major-drilling-group-international-inc-mjdlf-ceo-denis-larocque-q4-2019-results-earnings-call"" sasource=""earnings-center-transcripts_article"">Major Drilling Group International Inc. (MJDLF) CEO Denis Larocque on Q4 2019 Results - Earnings Call Transcript</a>"
