type,name
Executives,Kenny Green - Investor Relations
Executives,Eyal Sheratzky - Chief Executive Officer
Executives,Udi Mizrahi - Executive Chief Executive Officer
Executives,Eli Kamer - Chief Financial Officer
Analysts,David Kelley - Jefferies
Analysts,Sasha Karim - IPI
Analysts,Abba Horwitz - Old School Partners
